Validation_set,Topics,Alpha,Beta,Coherence
75% corpus,40,0.1,0.1,0.5258469836988884
75% corpus,40,0.1,0.4,0.528671110516272
75% corpus,40,0.1,0.7000000000000001,0.5202991484745765
75% corpus,40,0.1,symmetric,0.5265352788050812
75% corpus,40,0.4,0.1,0.4991645721233997
75% corpus,40,0.4,0.4,0.5070319552469904
75% corpus,40,0.4,0.7000000000000001,0.5150934727242978
75% corpus,40,0.4,symmetric,0.5024884944274113
75% corpus,40,0.7000000000000001,0.1,0.5001619623491023
75% corpus,40,0.7000000000000001,0.4,0.4915924871683508
75% corpus,40,0.7000000000000001,0.7000000000000001,0.48599258860509564
75% corpus,40,0.7000000000000001,symmetric,0.5003805862682853
75% corpus,40,symmetric,0.1,0.5289680801589555
75% corpus,40,symmetric,0.4,0.5341817983084562
75% corpus,40,symmetric,0.7000000000000001,0.5320590581412343
75% corpus,40,symmetric,symmetric,0.5297115990648688
75% corpus,40,asymmetric,0.1,0.5180560576089703
75% corpus,40,asymmetric,0.4,0.5233561067931939
75% corpus,40,asymmetric,0.7000000000000001,0.5259331581701386
75% corpus,40,asymmetric,symmetric,0.525720538658132
75% corpus,60,0.1,0.1,0.507892391637286
75% corpus,60,0.1,0.4,0.5063066802208473
75% corpus,60,0.1,0.7000000000000001,0.5099862353098107
75% corpus,60,0.1,symmetric,0.49761716064766254
75% corpus,60,0.4,0.1,0.4942502556454438
75% corpus,60,0.4,0.4,0.4833118722237758
75% corpus,60,0.4,0.7000000000000001,0.48523321752749204
75% corpus,60,0.4,symmetric,0.4931571752033932
75% corpus,60,0.7000000000000001,0.1,0.5067865408582799
75% corpus,60,0.7000000000000001,0.4,0.49139836626010425
75% corpus,60,0.7000000000000001,0.7000000000000001,0.49198577022931783
75% corpus,60,0.7000000000000001,symmetric,0.5013733589945086
75% corpus,60,symmetric,0.1,0.5074632166594125
75% corpus,60,symmetric,0.4,0.5207767710247554
75% corpus,60,symmetric,0.7000000000000001,0.5234703773377488
75% corpus,60,symmetric,symmetric,0.5055947365556631
75% corpus,60,asymmetric,0.1,0.5152773976857924
75% corpus,60,asymmetric,0.4,0.5158930321343119
75% corpus,60,asymmetric,0.7000000000000001,0.5096898167499695
75% corpus,60,asymmetric,symmetric,0.5106321505896945
100% corpus,40,0.1,0.1,0.5321062616993683
100% corpus,40,0.1,0.4,0.5316900111129008
100% corpus,40,0.1,0.7000000000000001,0.5337796908580886
100% corpus,40,0.1,symmetric,0.5273953477449336
100% corpus,40,0.4,0.1,0.5031842833011877
100% corpus,40,0.4,0.4,0.5060765156889742
100% corpus,40,0.4,0.7000000000000001,0.5072686276812053
100% corpus,40,0.4,symmetric,0.5053460630825656
100% corpus,40,0.7000000000000001,0.1,0.505370867293099
100% corpus,40,0.7000000000000001,0.4,0.4962403090836127
100% corpus,40,0.7000000000000001,0.7000000000000001,0.49830810735536096
100% corpus,40,0.7000000000000001,symmetric,0.5003796959246352
100% corpus,40,symmetric,0.1,0.519769578266897
100% corpus,40,symmetric,0.4,0.5344105830675508
100% corpus,40,symmetric,0.7000000000000001,0.5310235123070234
100% corpus,40,symmetric,symmetric,0.5337263683272677
100% corpus,40,asymmetric,0.1,0.5277935901844449
100% corpus,40,asymmetric,0.4,0.5312543561790803
100% corpus,40,asymmetric,0.7000000000000001,0.530003247883598
100% corpus,40,asymmetric,symmetric,0.5297106082183923
100% corpus,60,0.1,0.1,0.5092750317144086
100% corpus,60,0.1,0.4,0.5073039434406383
100% corpus,60,0.1,0.7000000000000001,0.5072849987811694
100% corpus,60,0.1,symmetric,0.5037200583035308
100% corpus,60,0.4,0.1,0.49932691796760204
100% corpus,60,0.4,0.4,0.4964923859256129
100% corpus,60,0.4,0.7000000000000001,0.49030217082310784
100% corpus,60,0.4,symmetric,0.49927594563808153
100% corpus,60,0.7000000000000001,0.1,0.5100730547651041
100% corpus,60,0.7000000000000001,0.4,0.5073863614174797
100% corpus,60,0.7000000000000001,0.7000000000000001,0.49954845222702554
100% corpus,60,0.7000000000000001,symmetric,0.49798821598798554
100% corpus,60,symmetric,0.1,0.5135940130701234
100% corpus,60,symmetric,0.4,0.5140271743796977
100% corpus,60,symmetric,0.7000000000000001,0.5205410962629585
100% corpus,60,symmetric,symmetric,0.5156103307699383
100% corpus,60,asymmetric,0.1,0.5155593634858128
100% corpus,60,asymmetric,0.4,0.5207903443511256
100% corpus,60,asymmetric,0.7000000000000001,0.5245314602009838
100% corpus,60,asymmetric,symmetric,0.5101773604436632
